"","name","coefficient"
"1","(Intercept)",4.84217824205087
"2","cg03843323_30",-0.0032981317346713
"3","cg03972287_69",-0.000600937642270998
"4","cg06023028_28",0.00161945124807441
"5","cg09317554_34",0.00832588793489677
"6","cg12927674_24",0.00603969118273418
"7","cg17212850_29",-0.0025199269182405
"8","cg20638025_42",-0.00491498392831979
"9","cg21027178_26",-0.00240281639081635
"10","cg08849105_33",-0.0045608394435223
"11","cg00820579_31",-0.000722619763254598
"12","cg08372705_.9",-0.000701747840842487
"13","cg09392026_70",-0.000682146332134714
"14","cg09647169_31",-0.000997096508065319
"15","cg12981876_48",0.00210985613381765
"16","cg14702498_32",0.000689701104007901
"17","cg15566115_45",-0.00100527476420453
"18","cg26845017_17",-0.000569135189114348
"19","cg07704742_58",0.00563884090108691
"20","cg09536551_30",-0.0106313691899237
"21","cg22704389_72",-0.0104158785283057
