"sampleid","age","tooth_type","species","cc","published","publication","notes","collection_date"
"AMB122",4,"lower left premolar","Pteropus_rufus","A","no",NA,"age from 1 tooth",2018-02-23
"AMB123",1,"lower left premolar","Pteropus_rufus","B","no",NA,"age from 1 tooth",2018-02-23
"AMB125",2,"lower left premolar","Pteropus_rufus","A","no",NA,"age from 1 tooth",2018-02-24
"AMB126",3,"lower left premolar","Pteropus_rufus","B","no",NA,"age from 1 tooth",2018-02-24
"AMB129",1,"lower left premolar","Pteropus_rufus","A","no",NA,"age from 1 tooth",2018-02-25
"AMB130",3,"lower left premolar","Pteropus_rufus","A","no",NA,"age from 1 tooth",2018-02-26
"AMB131",2,"lower left premolar","Pteropus_rufus","A","no",NA,"age from 1 tooth",2018-02-27
"AMB132",3,"lower left premolar","Pteropus_rufus","B","no",NA,"age from 1 tooth",2018-02-28
"AMB134",2,"lower left premolar","Pteropus_rufus","A","no",NA,"age from 1 tooth",2018-03-01
"AMB136",2,"lower left premolar","Pteropus_rufus","A","no",NA,"age from 1 tooth",2018-03-01
"AMB138",4,"lower left premolar","Pteropus_rufus","A","no",NA,"age from 1 tooth",2018-03-02
"AMB141",1,"lower left premolar","Pteropus_rufus","B","no",NA,"age from 1 tooth",2018-04-16
"AMB143",3,"lower left premolar","Pteropus_rufus","A","no",NA,"age from 1 tooth",2018-04-17
"AMB148",2,"lower left premolar","Pteropus_rufus","B","no",NA,"age from 1 tooth",2018-04-22
"AMB149",1,"lower left premolar","Pteropus_rufus","B","no",NA,"age from 1 tooth",2018-08-05
"AMB150",2,"lower left premolar","Pteropus_rufus","A","no",NA,"age from 1 tooth",2018-08-06
"AMB151",2,"lower left premolar","Pteropus_rufus","B","no",NA,"age from 1 tooth",2018-08-07
"AMB152",1,"lower left premolar","Pteropus_rufus","A","no",NA,"age from 1 tooth",2018-08-07
"AMB155",1,"lower left premolar","Pteropus_rufus","A","no",NA,"age from 1 tooth",2018-08-08
"AMB156",3,"lower left premolar","Pteropus_rufus","B","no",NA,"age from 1 tooth",2018-12-21
"AMB157",3,"lower left premolar","Pteropus_rufus","B","no",NA,"age from 1 tooth",2018-12-24
"AMB162",2,"lower left premolar","Pteropus_rufus","A","no",NA,"age from 1 tooth",2019-02-14
"AMB163",5,"lower left premolar","Pteropus_rufus","B","no",NA,"age from 1 tooth",2019-02-18
"AMB164",3,"lower left premolar","Pteropus_rufus","B","no",NA,"age from 1 tooth",2019-02-19
"AND42",5,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-08-08
"AND43",6,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-08-09
"ANGB130",1,"upper left canine","Eidolon_dupreanum","A","no",NA,"age inferred from 1 tooth",2018-02-14
